tau,rho,N,K,f1_macro,timing_mae_ms,switch_per_sec,run_dir
0.993070,1.037207,1,0,0.01282051282051282,0.0,0.0,out/grid/tau0.993070_rho1.037207
0.993070,1.267698,1,0,0.01282051282051282,0.0,0.0,out/grid/tau0.993070_rho1.267698
1.213752,1.037207,1,0,0.319634703196347,0.0,0.0,out/grid/tau1.213752_rho1.037207
1.213752,1.267698,1,0,0.319634703196347,0.0,0.0,out/grid/tau1.213752_rho1.267698
